,disciplina,numero_questao,assunto,enunciado,alternativas,gabarito
10,adm_geral,Questão 11:, Liderança,A teoria da liderança situacional (SLT) é caracterizada por," a)  enfatizar o simbolismo, o apelo emocional e o extraordinário compromisso por parte dos liderados.
 b)  propor que o estresse afeta desfavoravelmente a situação, e que a inteligência e a experiência do líder podem diminuir essa influência sobre ele.
 c)  apresentar uma matriz nove-por-nove, representando 81 estilos diferentes de lideranças.
 d)  buscar traços sociais, físicos, intelectuais ou de personalidade que diferenciem líderes de não-líderes.
 e)  ser uma teoria contingencial que enfoca a prontidão dos liderados.",E
11,adm_geral,Questão 12:, Liderança,"Nas teorias de enfoque situacional ou contingencial, a liderança"," a)  é determinada pelas características individuais ou traços de personalidade que os líderes possuem.
 b)  é fruto de um período e de ações de preparo para que alguém exerça o papel de líder.
 c)  é um fenômeno que depende, conjuntamente, do líder, dos seguidores e da situação.
 d)  é uma variável limitada à ação do líder sobre as atitudes passivas dos subordinados.
 e)  está relacionada diretamente com as características comportamentais do líder e não com as dos liderados.",C
12,adm_geral,Questão 13:, Liderança,Líderes que conduzem ou motivam seus seguidores na direção das metas estabelecidas por meio do esclarecimento dos papéis e das exigências das tarefas são," a)  transformacionais.
 b)  transacionais.
 c)  situacionais.
 d)  visionários.
 e)  morais.",B
13,adm_geral,Questão 14:, Liderança,"Há um modelo de autoridade que parte da crença na legalidade para impor padrões e regras normativas, abstratas, intencionalmente estabelecidas e universais, ele tem sua origem na burocracia e é o mais conhecido e o mais difundido pelo efeito de padronização.
  Esse modelo de autoridade é"," a)  a carismática.
 b)  a neocarismática.
 c)  o racional legal.
 d)  a comportamental.
 e)  o tradicional.",C
14,adm_geral,Questão 15:, Liderança,"Entre as teorias sobre liderança, aquela que enfatiza o simbolismo, o apelo emocional e o extraordinário compromisso por parte dos liderados é conhecida como
 a)  neocarismática.
 b)  modelo de participação e liderança.
 c)  teoria da meta e do caminho.
 d)  teoria da troca entre líder e liderados.
 e)  teoria situacional de Hersey e Blanchard."," a)  neocarismática.
 b)  modelo de participação e liderança.
 c)  teoria da meta e do caminho.
 d)  teoria da troca entre líder e liderados.
 e)  teoria situacional de Hersey e Blanchard.",A
15,adm_geral,Questão 16:, Liderança,"O líder que valoriza a experimentação, a busca por novas ideias, e que gera e implementa mudanças, é aquele
 a)  denominado transacional.
 b)  denominado transformacional.
 c)  orientado para a produção.
 d)  orientado para o desenvolvimento.
 e)  orientado para o funcionário."," a)  denominado transacional.
 b)  denominado transformacional.
 c)  orientado para a produção.
 d)  orientado para o desenvolvimento.
 e)  orientado para o funcionário.",D
16,adm_geral,Questão 17:," Treinamento, Desenvolvimento e Educação (TDeE)","Na condução de um levantamento de necessidades de treinamento, deve-se considerar a
 a)  avaliação de desempenho, clima e sistemas de treinamento.
 b)  remuneração condizente, a verificação de alternativas de instrução.
 c)  análise da organização, de tarefas e de pessoas.
 d)  análise do pacote de remuneração e benefícios e performance nos cargos.
 e)  alternativs de instrução, análise organizacional e de desempenho funcional."," a)  avaliação de desempenho, clima e sistemas de treinamento.
 b)  remuneração condizente, a verificação de alternativas de instrução.
 c)  análise da organização, de tarefas e de pessoas.
 d)  análise do pacote de remuneração e benefícios e performance nos cargos.
 e)  alternativs de instrução, análise organizacional e de desempenho funcional.",C
17,adm_geral,Questão 18:," Treinamento, Desenvolvimento e Educação (TDeE)","O role-playing ou desempenho de papel consiste em uma técnica amplamente utilizada em treinamento de pessoal. Os benefícios dessa técnica são:
 a)  ser um método barato e universal de treinamento, fortalecer as capacidades cognitivas e gerar melhores performances.
 b)  ser uma técnica de desenvolvimento profissional consagrada, embora aplicável somente a gestores; menor disponibilidade de tempo que outras técnicas.
 c)  gerar debates e conhecimentos que trazem sinergia com mudanças no mercado de trabalho e possibilitar desafios aos participantes.
 d)  ser um modelo versátil, aplicável a uma variedade de experiências de treinamento; imprimir realismo e facilitar a compreensão de dilemas e experiências.
 e)  relação custo-benefício atrativa e não requer investimento de tempo no seu planejamento, podendo ser improvisada."," a)  ser um método barato e universal de treinamento, fortalecer as capacidades cognitivas e gerar melhores performances.
 b)  ser uma técnica de desenvolvimento profissional consagrada, embora aplicável somente a gestores; menor disponibilidade de tempo que outras técnicas.
 c)  gerar debates e conhecimentos que trazem sinergia com mudanças no mercado de trabalho e possibilitar desafios aos participantes.
 d)  ser um modelo versátil, aplicável a uma variedade de experiências de treinamento; imprimir realismo e facilitar a compreensão de dilemas e experiências.
 e)  relação custo-benefício atrativa e não requer investimento de tempo no seu planejamento, podendo ser improvisada.",D
18,adm_geral,Questão 19:," Treinamento, Desenvolvimento e Educação (TDeE)","Numa modalidade de treinamento extensivamente utilizada, o treinamento em sala de aula, o perfil do instrutor normalmente bem-sucedido deve possuir alguns traços:
 a)  ser alguém experiente no tema; bom porte físico; agilidade mental e de raciocínio.
 b)  capacidade de superar tensões; expressar seriedade e conhecimento; dinamismo.
 c)  ter conhecimento do assunto; ser adaptável ao ritmo da turma; estar bem trajado.
 d)  paciência e adaptabilidade; senso de humor; entusiasmo.
 e)  dinamismo, apresentação pessoal destacada, capacidade de superar tensões"," a)  ser alguém experiente no tema; bom porte físico; agilidade mental e de raciocínio.
 b)  capacidade de superar tensões; expressar seriedade e conhecimento; dinamismo.
 c)  ter conhecimento do assunto; ser adaptável ao ritmo da turma; estar bem trajado.
 d)  paciência e adaptabilidade; senso de humor; entusiasmo.
 e)  dinamismo, apresentação pessoal destacada, capacidade de superar tensões",D
19,adm_geral,Questão 20:," Treinamento, Desenvolvimento e Educação (TDeE)","Para a elaboração de programas de treinamento, deve -se construir objetivos instrucionais que descrevem:
 a)  performances específicas, que retratam a relação de custo-benefício entre treinamento e seu investimento.
 b)  habilidades ou conhecimentos a serem adquiridos e/ou atitudes a serem mudadas.
 c)  matérias que devem ser instruídas aos participantes e avaliadas posteriormente no trabalho.
 d)  conceitos e técnicas a serem instruídos por meio de metodologias ativas centradas na aprendizagem.
 e)  conceitos, comportamentos e capacitação a serem obtidos em programas de formação de servidores."," a)  performances específicas, que retratam a relação de custo-benefício entre treinamento e seu investimento.
 b)  habilidades ou conhecimentos a serem adquiridos e/ou atitudes a serem mudadas.
 c)  matérias que devem ser instruídas aos participantes e avaliadas posteriormente no trabalho.
 d)  conceitos e técnicas a serem instruídos por meio de metodologias ativas centradas na aprendizagem.
 e)  conceitos, comportamentos e capacitação a serem obtidos em programas de formação de servidores.",B
20,adm_geral,Questão 21:," Treinamento, Desenvolvimento e Educação (TDeE)","Entre os indicadores de necessidade de treinamento, a alternativa que denota um tipo de indicador a priori é a seguinte:
 a)  produção e comercialização de novos produtos ou serviços.
 b)  pouca versatilidade dos funcionários.
 c)  avarias frequentes em equipamentos e instalações.
 d)  comunicação deficiente.
 e)  elevado número de acidentes no trabalho."," a)  produção e comercialização de novos produtos ou serviços.
 b)  pouca versatilidade dos funcionários.
 c)  avarias frequentes em equipamentos e instalações.
 d)  comunicação deficiente.
 e)  elevado número de acidentes no trabalho.",A
21,adm_geral,Questão 22:," Treinamento, Desenvolvimento e Educação (TDeE)","O gestor de RH de uma empresa de varejo constatou que os funcionários da sua equipe possuíam conhecimentos tradicionais para vendas, mas apresentavam dificuldades na interação com os consumidores pelos canais digitais e que exigiam interatividade. Concluiu que era preciso ensinar novas habilidades para seus funcionários diante de um mercado em transformação. Assim, a proposta que esse gestor de RH deve implementar denomina-se
 a)  avaliação 360º.
 b)  capacitação de pessoas.
 c)  definição de cargos e funções.
 d)  reestruturação organizacional.
 e)  remuneração por desempenho."," a)  avaliação 360º.
 b)  capacitação de pessoas.
 c)  definição de cargos e funções.
 d)  reestruturação organizacional.
 e)  remuneração por desempenho.",B
22,adm_geral,Questão 23:," Treinamento, Desenvolvimento e Educação (TDeE)","O treinamento da equipe, que busca desenvolver conceitos, produz mudanças de comportamentos do colaborador que envolve
 a)  a criação e o desenvolvimento de competências individuais alinhadas com os objetivos da organização.
 b)  a mudança de atitudes negativas para atitudes favoráveis, conscientização e sensibilidade com as pessoas, com os clientes internos e externos.
 c)  o desenvolvimento de ideias e conceitos para ajudar a pensar em termos, globais e amplos, visando elevar o nível de abstração.
 d)  o desenvolvimento de habilidades para a execução e a operação de tarefas, manejar equipamentos, máquinas e ferramentas, focando portanto em melhorar as habilidades e as destrezas individuais.
 e)  o aumento do conhecimento das pessoas sobre informações da organização, seus produtos/serviços, políticas e diretrizes, regras e regulamentos e seus clientes."," a)  a criação e o desenvolvimento de competências individuais alinhadas com os objetivos da organização.
 b)  a mudança de atitudes negativas para atitudes favoráveis, conscientização e sensibilidade com as pessoas, com os clientes internos e externos.
 c)  o desenvolvimento de ideias e conceitos para ajudar a pensar em termos, globais e amplos, visando elevar o nível de abstração.
 d)  o desenvolvimento de habilidades para a execução e a operação de tarefas, manejar equipamentos, máquinas e ferramentas, focando portanto em melhorar as habilidades e as destrezas individuais.
 e)  o aumento do conhecimento das pessoas sobre informações da organização, seus produtos/serviços, políticas e diretrizes, regras e regulamentos e seus clientes.",C
23,adm_geral,Questão 24:," Treinamento, Desenvolvimento e Educação (TDeE)","A manutenção preventiva de equipamentos é uma ação planejada e sistemática que visa realizar a revisão, o controle e o monitoramento de dispositivos de forma periódica para evitar ou reduzir a incidência de falhas. A fim de evitar prejuízos e perdas, é essencial investir
 a)  em equipamentos alugados.
 b)  na contratação de funcionários de primeira linha.
 c)  em altas tecnologias.
 d)  na aquisição de equipamentos importados.
 e)  no treinamento de funcionários."," a)  em equipamentos alugados.
 b)  na contratação de funcionários de primeira linha.
 c)  em altas tecnologias.
 d)  na aquisição de equipamentos importados.
 e)  no treinamento de funcionários.",E
24,adm_geral,Questão 25:," Treinamento, Desenvolvimento e Educação (TDeE)","Treinamento e desenvolvimento constituem processos de mudança no comportamento de pessoas por meio da incorporação de novos hábitos, atitudes, conhecimentos, destrezas e competências. O treinamento diferencia-se do desenvolvimento, pois
 a)  a sua perspectiva de tempo é diferente, o treinamento focaliza os cargos a serem ocupados futuramente na empresa.
 b)  a sua perspectiva de tempo é diferente, o treinamento trata as novas habilidades e competências que serão requeridas.
 c)  representa um processo sistemático de alterar o comportamento dos empregados na direção do alcance dos objetivos econômicos da organização.
 d)  a sua perspectiva de tempo é diferente, o treinamento é orientado para o presente.
 e)  produz uma mudança relativamente efêmera em um indivíduo e que melhora sua capacidade por um breve período de tempo."," a)  a sua perspectiva de tempo é diferente, o treinamento focaliza os cargos a serem ocupados futuramente na empresa.
 b)  a sua perspectiva de tempo é diferente, o treinamento trata as novas habilidades e competências que serão requeridas.
 c)  representa um processo sistemático de alterar o comportamento dos empregados na direção do alcance dos objetivos econômicos da organização.
 d)  a sua perspectiva de tempo é diferente, o treinamento é orientado para o presente.
 e)  produz uma mudança relativamente efêmera em um indivíduo e que melhora sua capacidade por um breve período de tempo.",D
25,adm_geral,Questão 26:," Treinamento, Desenvolvimento e Educação (TDeE)","Uma empresa que pretende manter seus colaboradores sob incentivo à melhoria na sua performance individual deverá valer-se de processos de
 a)  avaliação de desempenho profissional.
 b)  atualização de planos e carreiras.
 c)  programas de capacitação e treinamento.
 d)  melhorias salariais fixas ou variáveis.
 e)  atribuição de responsabilidades e desafios."," a)  avaliação de desempenho profissional.
 b)  atualização de planos e carreiras.
 c)  programas de capacitação e treinamento.
 d)  melhorias salariais fixas ou variáveis.
 e)  atribuição de responsabilidades e desafios.",C
26,adm_geral,Questão 27:," Treinamento, Desenvolvimento e Educação (TDeE)","O documento inicial preparado pela área de recursos humanos para o treinamento (LNT) – que se constitui em um diagnóstico do que é necessário, para quem, quando e onde – tem como base dois tipos de indicadores: indicadores a priori (aquilo que mostrou a necessidade do treinamento) e indicadores a posteriori (aquilo que persiste porque a necessidade não foi atendida).
  Assinale a alternativa que contém um exemplo de indicador a priori.
 a)  Produtividade baixa.
 b)  Conflitos na comunicação.
 c)  Crescentes despesas de manutenção de equipamentos e máquinas.
 d)  Alteração do maquinário e dos equipamentos.
 e)  Número inadequado de acidentes do trabalho."," a)  Produtividade baixa.
 b)  Conflitos na comunicação.
 c)  Crescentes despesas de manutenção de equipamentos e máquinas.
 d)  Alteração do maquinário e dos equipamentos.
 e)  Número inadequado de acidentes do trabalho.",D
27,adm_geral,Questão 28:," Treinamento, Desenvolvimento e Educação (TDeE)","O processo de aprendizagem, em uma organização, pode ocorrer em três níveis: do indivíduo, do grupo e da organização. O nível do indivíduo"," a)  remete ao tipo de aprendizagem que constitui um processo social partilhado pelas pessoas do grupo.
 b)  é o primeiro nível do processo de aprendizagem; está carregado de emoções positivas ou negativas, relacionando-se com o autoconhecimento.
 c)  é o processo que se torna institucionalizado e se expressa em diversos artefatos organizacionais.
 d)  está diretamente conectado com aspectos tais como estrutura, regras, procedimentos e elementos simbólicos.
 e)  consiste na aquisição e no desenvolvimento de habilidades físicas para produzir ações.",B
28,adm_geral,Questão 29:," Treinamento, Desenvolvimento e Educação (TDeE)",Assinale a alternativa correta a respeito do desenvolvimento de pessoas nas organizações.," a)  Refere-se a compartilhar um conjunto de fatos e informações relativas a habilidades de execução.
 b)  Deixa em segundo plano a carreira futura do profissional, focalizando principalmente o desempenho no cargo atual.
 c)  Parte da ideia de que o crescimento profissional não é para todos, sendo voltado para ocupantes de cargos de nível mais elevado.
 d)  Está mais relacionado com a educação e a orientação para o futuro do que com as atividades de treinamento.
 e)  Destaca a identificação de habilidades, conhecimentos e competências utilizadas no passado, sem evidenciar o futuro.",D
29,adm_geral,Questão 30:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","É um modelo de estrutura organizacional que possui características que o tornam bastante diferente dos demais modelos. Entre elas, destaca-se a ênfase na integração entre perspectivas e ações de diversas áreas funcionais. Revela-se também pela existência de duas ou mais formas de estrutura que são utilizadas simultaneamente sobre os mesmos membros da organização. Trata-se da estrutura"," a)  por processo.
 b)  funcional.
 c)  matricial.
 d)  por produto.
 e)  geográfica.",C
30,adm_geral,Questão 31:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","Entre os modelos de estrutura organizacional, a organização que busca eliminar a cadeia de comando, ter amplitude ilimitada de controle e substituir os departamentos por equipes autônomas, é conhecida como"," a)  Organização sem fronteiras.
 b)  Modelo orgânico simples.
 c)  Organização virtual.
 d)  Estrutura de equipe.
 e)  Estrutura matricial.",A
31,adm_geral,Questão 32:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A centralização ou a descentralização organizacional são estratégias adotadas pelas organizações para, principalmente, enfrentar as demandas e os impactos do ambiente externo. Assinale a alternativa que contém uma das vantagens da descentralização organizacional."," a)  Apresenta maior uniformidade de procedimentos, decisões e políticas.
 b)  Aumenta o tempo disponível dos administradores do topo para outras funções.
 c)  Oferece maior facilidade na avaliação do desempenho organizacional.
 d)  Apresenta redução de riscos por erro dos subordinados.
 e)  Oferece mais possibilidades de se ter uniformidade nas decisões.",B
32,adm_geral,Questão 33:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A estrutura organizacional se compõe de vários elementos importantes, sendo um deles a amplitude de controle que é caracterizada como"," a)  a linha de autoridade formal, a diversificação vertical, em uma organização.
 b)  a especificação de atividades individuais ou de grupos em toda a organização.
 c)  a divisão das atividades em pequenas e simples, para permitir a especialização.
 d)  o agrupamento de tarefas, atividades e pessoas em unidades organizacionais.
 e)  o número de funcionários que um chefe consegue gerenciar com eficiência e eficácia.",E
33,adm_geral,Questão 34:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","Uma organização é um sistema composto de elementos ou componentes interdependentes, que podem ter cada um seus próprios objetivos. Essa definição decorrente do enfoque sistêmico implica, pelo menos, dois sistemas ou subsistemas. Assinale a alternativa que apresenta um recurso ou componente físico ou abstrato do subsistema técnico."," a)  Cultura.
 b)  Tecnologia.
 c)  Clima.
 d)  Atitude.
 e)  Motivação.",B
34,adm_geral,Questão 35:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A Diretoria de uma empresa é constituída pelas seguintes áreas: Filial Salvador, Filial Rio de Janeiro, Representante Buenos Aires. Essa divisão da Diretoria revela uma departamentalização"," a)  geográfica.
 b)  funcional.
 c)  por processo.
 d)  por cliente.
 e)  por produto.",A
35,adm_geral,Questão 36:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A Teoria Clássica de Administração tem por princípios a unidade de comando, hierarquia da autoridade e amplitude de controle.

Por amplitude de controle, entende-se
 a)  o número de subordinados que podem ser supervisionados.
 b)  a quantidade de tarefas e rotinas que o departamento centraliza.
 c)  o nível hierárquico em que a autoridade é estabelecida.
 d)  o grau de responsabilidade atribuída à supervisão.
 e)  o âmbito a que o departamento responde no processo produtivo."," a)  o número de subordinados que podem ser supervisionados.
 b)  a quantidade de tarefas e rotinas que o departamento centraliza.
 c)  o nível hierárquico em que a autoridade é estabelecida.
 d)  o grau de responsabilidade atribuída à supervisão.
 e)  o âmbito a que o departamento responde no processo produtivo.",A
36,adm_geral,Questão 37:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A estrutura organizacional pode aparecer de diversas formas – vertical, horizontal, espacial, mista – tendo um desenho específico para cada organização. O processo de dividir o trabalho para estabelecer o desenho adequado é denominado
 a)  coordenação.
 b)  atribuição.
 c)  diferenciação.
 d)  apropriação.
 e)  substituição."," a)  coordenação.
 b)  atribuição.
 c)  diferenciação.
 d)  apropriação.
 e)  substituição.",C
37,adm_geral,Questão 38:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","Hierarquia é uma ordenação contínua de autoridades que estabelece os níveis de poder e importância, de forma que a posição inferior
 a)  esteja sempre subordinada às posições superiores.
 b)  mantenha-se no mesmo nível das posições superiores.
 c)  não estabeleça contato com as posições superiores.
 d)  evite diminuir-se perante as posições superiores.
 e)  atue com igualdade perante seus também subordinados."," a)  esteja sempre subordinada às posições superiores.
 b)  mantenha-se no mesmo nível das posições superiores.
 c)  não estabeleça contato com as posições superiores.
 d)  evite diminuir-se perante as posições superiores.
 e)  atue com igualdade perante seus também subordinados.",A
38,adm_geral,Questão 39:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A estrutura organizacional que combina as estruturas funcional e por produtos e que tem por vocação satisfazer as necessidades organizacionais de especialização e de coordenação é denominada
 a)  divisional.
 b)  colegiado.
 c)  matricial.
 d)  linear.
 e)  linha-staff."," a)  divisional.
 b)  colegiado.
 c)  matricial.
 d)  linear.
 e)  linha-staff.",C
39,adm_geral,Questão 40:," Introdução ao Processo de Organização (Desenho Organizacional, Centralização, Descentralização)","A departamentalização é um meio de homogeneização de tarefas. Sendo assim, a departamentalização será tipificada por
 a)  custos.
 b)  hierarquia.
 c)  geopolítica.
 d)  leis.
 e)  projetos."," a)  custos.
 b)  hierarquia.
 c)  geopolítica.
 d)  leis.
 e)  projetos.",E
40,adm_geral,Questão 41:, Motivação,"No estudo dos fundamentos do comportamento de grupos, encontra-se a profecia autorrealizadora: a perspectiva de que um acontecimento provável se torne realidade, porque se espera ou acredita que ele aconteça. Internamente nas organizações, o desenvolvimento, a motivação e o desempenho de um dado colaborador dependem, em parte, da forma como ele é tratado por outros, em particular por aqueles outros que têm sobre esse mesmo colaborador algum tipo de ascendência, principalmente os seus gestores. Essa profecia é conhecida, nos estudos organizacionais, como"," a)  Efeito Pigmalião.
 b)  Teoria dos Dois Fatores.
 c)  Teoria de Herzberg.
 d)  Enriquecimento do trabalho.
 e)  Ampliação das tarefas.",A
41,adm_geral,Questão 42:, Motivação,"as diversas atividades humanas, incluídas aquelas relativas ao trabalho, ao falarmos das necessidades e motivações do indivíduo, a pirâmide de Maslow é sempre citada. A esse respeito, é correto afirmar que"," a)  a teoria de Maslow foi vital para os psicólogos do trabalho compreenderem que a percepção dos trabalhadores da impossibilidade de atenderem plenamente os cinco níveis da pirâmide, era a razão maior do sofrimento relacionado à sua ocupação.
 b)  a crítica à teoria de Maslow, formulada por alguns estudiosos da psicologia do trabalho, reside no fato de, não obstante, existirem inúmeras evidências de todas as necessidades por ele apontadas, há casos em que sua hierarquização mostrava discrepâncias com a pirâmide por ele concebida.
 c)  para Maslow, as necessidades humanas devem ser saciadas de maneira hierárquica, de forma que, antes de começar a pensar nas suas necessidades de segurança, um indivíduo precisa, necessariamente, contar com a satisfação de todas as suas necessidades fisiológicas.
 d)  as pesquisas já realizadas com o propósito de avaliar a validade do modelo proposto por Maslow evidenciam que, para expressiva maioria dos trabalhadores, entre os níveis de segurança pessoal e de amor ou relacionamento, situa-se o nível de estima, confiança e conquista.
 e)  segundo Maslow, a satisfação plena da camada fisiológica, basal, em que se situam o processo respiratório, a alimentação, a água, o sexo e o sono, é relevante requisito para o atingimento do nível de autorrealização, em que se destacam, na dimensão social da vida do indivíduo, o respeito aos e dos outros.",C
42,adm_geral,Questão 43:, Motivação,"Clayton Alderfer propôs uma revisão da teoria das necessidades de Maslow, chamada de Teoria ERG, entendendo que havia três grupos principais de necessidades: 1 – existência; 2 – Relacionamento e 3 –"," a)  Crescimento, determinando que a satisfação das necessidades é simultânea e que, se uma necessidade de ordem elevada permanece insatisfeita, aumenta o desejo de satisfazer a uma de ordem inferior.
 b)  Realização, determinando que a satisfação das necessidades é sequencial e que, se uma necessidade de ordem inferior permanece insatisfeita, aumenta o desejo de satisfazer a uma de ordem superior.
 c)  Filiação, determinando que a satisfação das necessidades não é sequencial e que, se uma necessidade de ordem inferior permanece insatisfeita, aumenta o desejo de satisfazer a uma de ordem superior.
 d)  Poder, determinando que a satisfação das necessidades é simultânea; quando isso não acontece, é gerada a frustração.
 e)  Dominação, determinando que, se uma necessidade de ordem elevada permanece insatisfeita, aumenta o desejo de satisfazer a uma de ordem inferior; quando isso não acontece é gerada a frustração.",A
